year,month,day,Sleep,REM,Calories,Pulse OX,Respiration,Heart Rate,Intensity Min,Yoga,Steps,Lift,Cardio,Breathing,Stress,Average Stress
2021,12,26,10.97,3.25,2971,0.96,12,59,36,1,8034,0,0,1,23,23.33
2021,12,27,8.783,2.017,3353,0.94,13,59,128,0,8147,1,1,0,23,23.33
2021,12,28,10.97,2.72,3005,0.94,13,59,104,1,4719,1,0,0,19,23.33
2021,12,29,8.0,1.92,3007,0.94,13,57,69,1,3980,1,0,0,19,23.33
2021,12,30,7.5,1.67,2619,0.95,13,57,56,1,4725,1,1,0,19,23.33
2021,12,31,7.95,2.5,2047,0.9,13,56,13,0,3130,1,0,0,24,23.33
2022,1,2,,,3448,0.95,14,56,158,1,7871,1,1,0,41,23.33
2022,1,3,10.22,3.32,3172,0.95,13,56,124,0,3981,1,1,0,24,23.33
2022,1,4,8.67,2.87,2463,0.93,13,55,0,0,2531,0,0,1,21,23.33
2022,1,5,11.65,3.75,3064,0.94,14,55,57,0,8384,0,1,0,21,23.33
2022,1,6,10.17,4.47,2523,0.94,13,56,0,0,3203,0,0,0,23,23.33
2022,1,13,8.5,1.0,1168,0.92,13,57,60,0,4242,1,1,0,22,23.33
